date,district,upazila,lat,lon,temperature,rainfall,humidity,ndvi,soil_moisture,malaria_api,malaria_tpr,dengue_incidence,diarrhoea_incidence,hospital_admissions
2015-01-01,Dhaka,Upazila_1,23.5085,89.1934,25.58,93.09,68.62,0.28,0.31,4,0.17323522915498704,2,7,3
2015-01-01,Dhaka,Upazila_2,23.3568,89.1729,24.38,6.98,87.7,0.52,0.29,4,0.12150897038028768,1,7,1
2015-01-01,Dhaka,Upazila_3,22.7852,89.8792,24.86,119.47,82.64,0.24,0.49,9,0.18437484700462337,1,5,3
2015-01-01,Dhaka,Upazila_4,23.7258,90.0748,24.41,130.58,82.76,0.49,0.32,0,0.16309228569096684,3,5,6
2015-01-01,Dhaka,Upazila_5,22.3648,90.6605,26.06,139.78,83.3,0.8,0.49,5,0.02157828539866089,0,8,6
2015-01-01,Dhaka,Upazila_6,22.4271,90.0222,26.46,108.78,87.77,0.23,0.24,4,0.16360295318449863,1,6,6
2015-01-01,Dhaka,Upazila_7,22.0495,90.0033,24.01,50.37,79.9,0.68,0.36,3,0.05572929284732229,2,10,3
2015-01-01,Dhaka,Upazila_8,23.7155,90.8689,25.19,74.83,67.77,0.7,0.16,2,0.04529915503958759,3,7,4
2015-01-01,Dhaka,Upazila_9,22.5128,90.7642,23.65,159.54,69.8,0.73,0.13,7,0.17971083770541585,1,2,4
2015-01-01,Dhaka,Upazila_10,22.9882,89.6018,24.11,139.35,86.67,0.49,0.4,6,0.0735431606118867,3,9,6
2015-01-01,Chittagong,Upazila_1,23.2902,89.5061,24.96,137.02,72.67,0.68,0.28,7,0.11136025249167003,3,12,9
2015-01-01,Chittagong,Upazila_2,22.9811,90.973,25.25,57.2,66.03,0.56,0.17,3,0.11816665211380216,0,4,3
2015-01-01,Chittagong,Upazila_3,22.471,90.5044,25.13,67.42,88.38,0.34,0.18,8,0.01569127626845319,0,7,7
2015-01-01,Chittagong,Upazila_4,22.4497,89.8351,24.36,36.0,72.81,0.41,0.11,2,0.00920052840435055,0,7,3
2015-01-01,Chittagong,Upazila_5,23.1053,89.2039,26.53,28.21,75.24,0.4,0.26,4,0.12848385564126313,0,12,1
